사업자번호,업체명,공시번호,종목코드
1018109147,현대자동차(주),00164742,005380
1018126409,한국맥도날드유한회사,00120979,
1018163383,(주)헥토파이낸셜,00763701,234340
1018168210,(주)엑시온그룹,00426068,069920
1018171660,(주)케이티아이에스,00372873,058860
1018195610,금호타이어(주),00481454,073240
1018642059,동아출판(주),00694818,
1018655141,한국화장품(주),00823429,123690
1028100358,주식회사 한국일보사,00159050,
1028111670,(주)교보문고,00104175,
1028139440,(주)하나투어,00269940,039130
1028141121,코카콜라음료 주식회사,00250270,
1028141359,한솔로지스틱스(주),00140946,009180
1048101106,신성통상(주),00136341,005390
1048119101,팬오션(주),00122737,028670
1048126067,롯데쇼핑(주),00120526,023530
1048136565,씨제이올리브네트웍스(주),00223799,
1048145690,씨제이씨지브이(주),00303873,079160
1048176378,씨제이올리브영주식회사,00429870,
1048199352,주식회사 동연에스엔티,00614973,
1048209274,사회복지법인 씨제이나눔재단,01604177,
1048209634,재단법인 씨제이문화재단,01604186,
1048609535,CJ제일제당(주),00635134,097950
1048629322,아이비케이연금보험(주),00844635,
1048639742,농협은행 주식회사,00908757,
1048652503,(주)신세계프라퍼티,01003253,
1048653370,콘센트릭스서비스코리아 유한회사,01425376,
1048658598,주식회사 에스쁘아,01061150,
1058104692,주식회사 동승통상,00382454,
1058111908,(주)신원,00136864,009270
1058145524,(주)이랜드이노플,00523857,
1058605788,주식회사 초록마을,00306463,
1058614706,(주)에스엠케이티앤아이,00622459,
1058643574,씨제이엠디원주식회사,00426703,
1058686082,(주)쿠프마케팅,01071616,
1058711399,(주)퓨쳐누리,01634682,
1058733864,신원글로벌(주),00944139,
1058744546,주식회사 마인드웨어웤스,01344956,
1058746393,신원지엘에스주식회사,00840116,
1058751367,주식회사 앤하우스,01450239,
1068100011,(주)아모레퍼시픽홀딩스,00154462,002790
1068101704,(주)에스와이에스리테일,00130976,
1068138502,(주)에스트라,00154392,016570
1068151510,(주)씨제이이엔엠,00265324,035760
1068158037,주식회사 조이렌트카,00357810,
1068196346,(주)씨제이텔레닉스,00452319,
1068205895,아모레퍼시픽재단,01604539,
1068211311,재단법인 한국유방건강재단,01604292,
1068643373,(주)아모레퍼시픽,00583424,090430
1068668127,(주)이니스프리,00812353,
1068706394,주식회사 소크라에이아이,01556056,
1078130954,롯데역사 주식회사,00120544,
1078637025,(주)모스트엑스,01233517,
1078685702,(주)쿠콘,01311055,294570
1078713471,(주)엠비씨플레이비,00819107,
1078783297,주식회사 백패커,01377158,
1078836127,비즈플레이 주식회사,01534027,
1088167492,에이렌탈앤서비스주식회사,01367780,
1098128100,주식회사 태광뉴텍,00153409,
1108105034,씨제이대한통운(주),00113410,000120
1118803173,코웨이라이프솔루션 주식회사,01877630,
1128131178,주식회사 현대퓨처넷,00403632,126560
1138144055,(주)다날,00389970,064260
1138678735,삼성카드고객서비스 주식회사,00998608,
1148100569,주식회사신세계센트럴,00200938,
1148170065,주식회사 에치와이,00158644,
1148172608,주식회사 대화씨앤에프,00479574,
1148601582,주식회사 렉스몬드,00864921,
1148652489,한성자동차,00623810,
1148653270,(주)토니모리,00816544,214420
1148720572,주식회사 라비오뜨,01255388,
1168102919,(주)코스콤,00159661,
1168109417,한국휴렛팩커드주식회사,00126609,
1168119123,GS칼텍스(주),00165459,
1168119477,(주)엘지씨엔에스,00139834,064400
1168119948,한국정보통신(주),00159342,025770
1168130069,(주)LF네트웍스,00444134,
